resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,is_podium,qualy_position,q1,q2,q3,median_gap_leader,std_gap_leader,q1_sec,q2_sec,q3_sec,best_qualy_sec,qualy_delta_sec,year,round,prior_points,prior_position,prior_wins
1,18,1,1,22,1.0,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.3,1,1,1.0,1:26.572,1:25.187,1:26.714,0.0,4501.921236306432,86.572,85.187,86.714,85.187,0.0,2008,1,0.0,20,0.0
2,18,2,2,3,5.0,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1,1,5.0,1:25.960,1:25.518,1:27.236,699.5,6038.511400757979,85.96000000000001,85.518,87.236,85.518,0.33100000000000307,2008,1,0.0,20,0.0
3,18,3,3,7,7.0,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1,1,7.0,1:26.295,1:26.059,1:28.687,1051.0,6844.596571586063,86.295,86.059,88.687,86.059,0.8719999999999999,2008,1,0.0,20,0.0
4,18,4,4,5,11.0,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1,0,12.0,1:26.907,1:26.188,,2131.0,6822.104962020532,86.907,86.188,,86.188,1.0010000000000048,2008,1,0.0,20,0.0
5,18,5,1,23,3.0,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1,0,3.0,1:25.664,1:25.452,1:27.079,665.0,6044.163884067942,85.664,85.452,87.07900000000001,85.452,0.26500000000000057,2008,1,0.0,20,0.0
6,18,6,3,8,13.0,6,6,6,3.0,57,\N,\N,50,14,1:29.639,212.974,11,0,14.0,1:26.891,1:26.413,,3097.0,12978.361785959085,86.89099999999999,86.413,,86.413,1.225999999999999,2008,1,0.0,20,0.0
7,18,7,5,14,17.0,7,7,7,2.0,55,\N,\N,54,8,1:29.534,213.224,5,0,18.0,1:27.446,,,2752.0,10876.045173259185,87.446,,,87.446,2.2590000000000003,2008,1,0.0,20,0.0
8,18,8,6,1,15.0,8,8,8,1.0,53,\N,\N,20,4,1:27.903,217.18,5,0,16.0,1:26.140,,,1671.0,10641.854921376924,86.14,,,86.14,0.953000000000003,2008,1,0.0,20,0.0
9,18,9,2,4,2.0,\N,R,9,0.0,47,\N,\N,15,9,1:28.753,215.1,4,0,2.0,1:26.103,1:25.315,1:26.869,1274.0,7608.523375504386,86.10300000000001,85.315,86.869,85.315,0.1280000000000001,2008,1,0.0,20,0.0
10,18,10,7,12,18.0,\N,R,10,0.0,43,\N,\N,23,13,1:29.558,213.166,3,0,9.0,1:26.919,1:26.164,1:29.593,3159.0,6412.250774711261,86.919,86.164,89.593,86.164,0.9770000000000039,2008,1,0.0,20,0.0
11,18,11,8,18,19.0,\N,R,11,0.0,32,\N,\N,24,15,1:30.892,210.038,7,0,20.0,1:28.208,,,3612.5,17043.77835871282,88.208,,,88.208,3.021000000000001,2008,1,0.0,20,0.0
12,18,12,4,6,20.0,\N,R,12,0.0,30,\N,\N,20,16,1:31.384,208.907,8,0,21.0,1:28.330,,,4287.5,11366.524645015606,88.33,,,88.33,3.1430000000000007,2008,1,0.0,20,0.0
13,18,13,6,2,4.0,\N,R,13,0.0,29,\N,\N,23,6,1:28.175,216.51,5,0,4.0,1:25.994,1:25.691,1:27.178,1645.0,9482.039645426421,85.994,85.691,87.178,85.691,0.5040000000000049,2008,1,0.0,20,0.0
14,18,14,9,9,8.0,\N,R,14,0.0,25,\N,\N,21,11,1:29.502,213.3,4,0,8.0,1:26.381,1:26.063,1:29.041,2181.0,4482.117170861705,86.381,86.063,89.041,86.063,0.8760000000000048,2008,1,0.0,20,0.0
15,18,15,7,11,6.0,\N,R,15,0.0,19,\N,\N,18,10,1:29.310,213.758,10,0,6.0,1:26.427,1:26.101,1:28.527,1782.0,1299.4005230483192,86.42699999999999,86.101,88.527,86.101,0.9140000000000015,2008,1,0.0,20,0.0
