iter	Passed	Remaining
0	69	13870
1	86	8515
2	94	6189
3	103	5087
4	110	4327
5	115	3730
6	119	3285
7	124	2979
8	128	2725
9	137	2616
10	142	2454
11	149	2340
12	157	2268
13	162	2153
14	168	2072
15	176	2035
16	183	1976
17	187	1900
18	192	1831
19	198	1787
20	203	1732
21	206	1673
22	209	1615
23	214	1572
24	221	1552
25	225	1506
26	228	1462
27	231	1422
28	235	1386
29	238	1353
30	242	1320
31	245	1289
32	248	1259
33	253	1236
34	256	1211
35	260	1185
36	263	1160
37	266	1137
38	271	1122
39	277	1110
40	283	1099
41	289	1087
42	299	1091
43	303	1075
44	306	1056
45	314	1051
46	318	1036
47	322	1021
48	326	1005
49	330	990
50	336	984
51	342	974
52	348	967
53	353	955
54	358	946
55	365	939
56	369	925
57	373	914
58	380	908
59	390	910
60	393	897
61	403	898
62	411	893
63	423	900
64	431	896
65	436	885
66	439	873
67	443	861
68	447	850
69	451	837
70	454	825
71	459	816
72	464	807
73	468	796
74	471	786
75	477	778
76	482	770
77	487	762
78	492	753
79	497	746
80	507	744
81	515	742
82	519	732
83	526	727
84	529	716
85	533	706
86	536	696
87	540	688
88	545	680
89	548	670
90	551	661
91	555	652
92	559	643
93	562	634
94	566	625
95	569	616
96	577	612
97	583	607
98	587	599
99	590	590
100	594	582
101	597	574
102	601	566
103	606	559
104	612	554
105	617	547
106	629	546
107	634	540
108	641	535
109	646	528
110	652	522
111	657	516
112	662	510
113	669	505
114	675	499
115	679	491
116	684	485
117	690	479
118	695	473
119	701	467
120	710	464
121	718	459
122	725	454
123	740	454
124	747	448
125	754	443
126	758	435
127	762	428
128	769	423
129	776	418
130	780	411
131	786	405
132	790	398
133	794	391
134	798	384
135	802	377
136	807	371
137	811	364
138	817	358
139	822	352
140	826	345
141	832	340
142	840	334
143	843	328
144	847	321
145	852	315
146	855	308
147	862	303
148	873	299
149	880	293
150	886	287
151	891	281
152	896	275
153	900	268
154	905	263
155	913	257
156	918	251
157	922	245
158	930	239
159	937	234
160	940	227
161	946	221
162	949	215
163	954	209
164	959	203
165	963	197
166	968	191
167	971	185
168	978	179
169	983	173
170	988	167
171	993	161
172	999	155
173	1005	150
174	1011	144
175	1015	138
176	1020	132
177	1029	127
178	1033	121
179	1046	116
180	1051	110
181	1057	104
182	1061	98
183	1066	92
184	1076	87
185	1080	81
186	1086	75
187	1092	69
188	1095	63
189	1099	57
190	1106	52
191	1113	46
192	1118	40
193	1123	34
194	1127	28
195	1134	23
196	1141	17
197	1146	11
198	1151	5
199	1161	0
