feature,gain,split
qualy_position,7620.624521952122,104
finish_gap_to_teammate_avg,4416.802749590948,472
team_points_avg_10,4304.730302761309,179
grid_effective,2322.6612965171225,118
qual_gap_to_pole,1196.5335023562802,250
driver_podium_rate_10,671.7845049723983,25
driver_finish_avg_10,441.7084909994155,146
constructor_prev_points,416.4379624016583,131
team_circuit_avg_finish,373.4669255716726,169
team_points_avg_5,283.73315049055964,159
driver_points_avg_10,266.81246220879257,117
driver_circuit_best_finish,253.17402497585863,104
team_circuit_podium_rate,245.85026968363672,137
constructor_prev_position,231.32831374835223,155
prev_constructor_pos,219.8405779711902,44
qual_gap_to_teammate,214.7530001103878,135
prev_constructor_points,208.30220430670306,160
driver_circuit_races,203.86125533259474,136
driver_circuit_avg_finish,198.70098569989204,163
prev_points_gap_to_leader,184.88312912240508,132
driver_finish_avg_3,178.30813940241933,96
prev_standing_points,171.58543311897665,102
driver_finish_avg_5,168.927869213745,97
team_circuit_races,167.63737598620355,154
driver_prev_finish,146.18570157885551,94
driver_points_avg_3,139.86251265881583,112
season_progress,136.41938750538975,126
driver_grid_gain_avg_5,130.67730020271847,125
driver_points_avg_5,121.8358292565681,75
prev_cons_gap_to_leader,121.80080905649811,94
race_win_rate_vs_teammate_5,108.64787872647867,72
team_podium_rate_10,99.85484351590276,62
driver_prev_qualy,96.17722216248512,79
team_dnf_rate_10,91.17973046377301,38
driver_dnf_rate_10,72.70788825675845,55
qual_win_rate_vs_teammate_5,68.40374326668098,76
driver_circuit_podium_rate,55.0996086448431,63
driver_win_rate_10,48.73841602355242,17
driver_podium_rate_5,46.988589346408844,20
team_circuit_best_finish,16.801808923482895,7
prev_standing_pos,16.764580372720957,17
race_field_size,16.234009198844433,6
driver_mechanical_dnf_rate_5,13.380676951259375,14
team_win_rate_10,11.135131645947695,13
team_mechanical_dnf_rate_5,11.110387222608551,13
team_dnf_rate_5,10.11048524826765,6
driver_dnf_rate_5,7.746754810214043,11
sprint_finish,7.672150909900665,5
sprint_points,5.019593924283981,7
driver_crash_rate_5,3.050008215010166,7
has_sprint,1.6316699981689453,1
reached_q2,0.6473099961876869,3
reached_q3,0.0,0
sprint_grid,0.0,0
